,ConvertedCompYearly
1915,72000.0
1916,69814.0
1922,190000.0
1924,12889.0
1925,74239.0
1926,116309.0
1928,62706.0
1929,56710.0
1933,89172.0
1934,161905.0
1935,145000.0
1936,56925.0
1937,76307.0
1939,175000.0
1943,119221.0
1945,5576.0
1949,85925.0
1950,180000.0
1951,80555.0
1954,24684.0
1955,43000.0
1956,57325.0
1957,79189.0
1959,220000.0
1964,250000.0
1966,70000.0
1968,50885.0
1970,85000.0
1974,125000.0
1977,146381.0
1978,38666.0
1979,89108.0
1980,135000.0
1981,25193.0
1982,96666.0
1984,57230.0
1985,82802.0
1987,185000.0
1990,110000.0
1993,32222.0
1995,8400.0
1996,169000.0
1997,17772.0
1998,53703.0
1999,153000.0
2000,135000.0
2005,102036.0
2007,1975.0
2008,3600.0
2010,140000.0
2011,185000.0
2012,110000.0
2013,30525.0
2014,94501.0
2015,49622.0
2017,91295.0
2018,206000.0
2021,59073.0
2023,12373.0
2024,69121.0
2026,111417.0
2027,47952.0
2028,48333.0
2029,139628.0
2030,111417.0
2032,40383.0
2033,50000.0
2034,247156.0
2035,200000.0
2037,83777.0
2038,155000.0
2040,34370.0
2042,37592.0
2043,215000.0
2045,37120.0
2046,79279.0
2048,58322.0
2049,135000.0
2050,46276.0
2052,131210.0
2053,119230.0
2055,59300.0
2056,200000.0
2058,48333.0
2059,146496.0
2061,205080.0
2062,86039.0
2063,181732.0
2065,139239.0
2066,83597.0
2067,161109.0
2068,29092.0
2069,250000.0
2071,150000.0
2072,13302.0
2074,13054.0
2078,165000.0
2079,61222.0
2080,106369.0
2081,65000.0
2082,9600.0
2083,185000.0
2086,75184.0
2092,29092.0
2094,128887.0
2095,121000.0
2098,72693.0
2099,181000.0
2100,59241.0
2101,185000.0
2102,95000.0
2104,171850.0
2107,75184.0
2108,112309.0
2109,34832.0
2112,86472.0
2118,48333.0
2119,134454.0
2120,13445.0
2121,53703.0
2122,95026.0
2124,43435.0
2126,137353.0
2127,109670.0
2128,55438.0
2131,83777.0
2134,10741.0
2135,122000.0
2136,85925.0
2139,200000.0
2140,195000.0
2143,190000.0
2146,87231.0
2147,44544.0
2149,73937.0
2150,89412.0
2151,91295.0
2152,229000.0
2154,91570.0
2155,60147.0
2157,50000.0
2158,20450.0
2159,79894.0
2161,66242.0
2162,89147.0
2163,38140.0
