HighIncomeDev,AgeOrdinals,OrgSizeOrdinals,EdLevelOrdinals,RemoteOrdinals,YearsCodePro,PurchaseInfluence,"Employed, full-time","Employed, part-time","Independent contractor, freelancer, or self-employed","Student, full-time","Student, part-time",Not employed
False,29,59.5,5,0,1,0,1,0,0,0,0,0
False,29,5.5,5,2,7,2,1,0,0,0,0,0
False,39,59.5,7,1,2,2,1,0,0,0,0,0
True,49,299.5,5,2,25,2,1,0,0,0,0,0
False,39,59.5,6,1,10,0,1,0,0,0,0,0
False,59,2999.5,1,1,35,1,0,1,0,0,0,0
True,29,749.5,5,1,12,0,1,0,0,0,0,0
True,39,749.5,5,1,24,1,1,0,0,0,0,0
True,49,299.5,3,1,30,2,1,0,0,0,0,0
True,39,2999.5,5,2,18,1,1,0,0,0,0,0
True,49,299.5,5,2,30,0,1,0,0,0,0,0
False,29,59.5,6,2,7,1,1,0,0,0,0,0
False,21,7499.5,6,1,3,0,1,0,0,0,0,0
True,29,10000.0,4,2,9,1,1,0,0,0,0,0
True,29,59.5,6,1,8,1,1,0,0,0,0,0
True,39,299.5,3,0,9,0,1,0,1,0,0,0
True,49,59.5,5,1,7,2,1,0,0,0,0,0
False,39,59.5,6,1,9,2,1,0,0,0,0,0
False,29,5.5,5,2,18,1,1,1,0,0,0,0
False,29,59.5,5,0,5,0,1,0,0,0,0,0
True,29,299.5,6,0,15,1,1,0,0,0,0,0
True,39,1.0,6,2,20,1,0,0,1,0,0,0
False,29,5.5,6,1,14,2,1,0,1,0,0,0
True,49,59.5,6,1,23,2,1,0,0,0,0,0
True,29,59.5,6,0,7,2,1,0,0,0,0,0
False,29,299.5,3,2,10,2,1,0,1,0,0,0
False,29,14.5,3,1,18,1,1,0,0,0,0,0
True,29,2999.5,5,1,11,0,1,0,0,0,0,0
False,49,1.0,3,1,10,1,0,0,1,0,0,0
True,29,1.0,5,2,12,1,0,0,1,0,0,0
True,39,299.5,5,1,10,1,1,0,0,0,0,0
False,29,59.5,6,1,9,2,1,0,0,0,0,0
False,29,20.0,6,1,7,0,0,1,0,1,0,0
True,29,14.5,6,1,7,1,1,0,0,0,0,0
True,39,2999.5,7,2,20,1,1,0,0,0,0,0
True,29,299.5,5,2,7,1,1,0,0,0,0,0
False,21,10000.0,5,1,2,0,1,0,0,0,0,0
True,29,10000.0,5,2,10,1,1,0,0,0,0,0
True,29,2999.5,5,1,7,1,0,1,0,0,0,0
True,29,299.5,1,2,10,2,1,0,0,0,0,0
True,29,10000.0,6,2,7,1,1,0,1,0,1,0
True,39,7499.5,6,2,7,0,1,0,0,0,0,0
False,39,299.5,5,1,14,0,1,0,0,0,0,0
True,39,59.5,6,1,8,1,1,0,0,0,0,0
True,39,299.5,5,2,22,1,1,0,0,0,0,0
True,49,59.5,3,1,23,0,1,0,0,0,0,0
True,29,299.5,5,2,5,1,1,0,0,0,0,0
